id,Job Title,title,Company,company,Location,Expiry Date,closingDate,Description,description,Source Site,sourceSite,Apply Email,applyEmail
VM_001_001_20250807,INVITATION FOR EXPRESSION OF INTEREST FOR A CONSULTANT TO DEVELOP VIRAL HEPATITIS B AND C GUIDELINES,INVITATION FOR EXPRESSION OF INTEREST FOR A CONSULTANT TO DEVELOP VIRAL HEPATITIS B AND C GUIDELINES,"Zimbabwe Technical Assistance, Training and Education Center for Health (Zim-TTECH)","Zimbabwe Technical Assistance, Training and Education Center for Health (Zim-TTECH)",Harare,Expires 20 Dec 2025,Expires 20 Dec 2025,"Title: Consultant for Developing Viral Hepatitis B and C Guidelines Duration: Three months Deadline for Receipt of Expressions: 19 December 2024 Background The Ministry of Health and Child Care (MOHCC) in Zimbabwe is seeking a qualified consultant to develop comprehensive guidelines for the prevention, testing, treatment, and care of Viral","Title: Consultant for Developing Viral Hepatitis B and C Guidelines Duration: Three months Deadline for Receipt of Expressions: 19 December 2024 Background The Ministry of Health and Child Care (MOHCC) in Zimbabwe is seeking a qualified consultant to develop comprehensive guidelines for the prevention, testing, treatment, and care of Viral",vacancymail.co.zw,vacancymail.co.zw,hbvconsultant@zimttech.org,hbvconsultant@zimttech.org
VM_001_002_20250807,Instore Counter Sales Reps,Instore Counter Sales Reps,N/A,N/A,Harare,Expires 18 Dec 2025,Expires 18 Dec 2025,"Description A fast growing company in the motor spares distribution and retail business is seeking the services of Instore Counter sales reps to be based in Harare, Mutare, Gweru, Chivhu and Bulawayo","Description A fast growing company in the motor spares distribution and retail business is seeking the services of Instore Counter sales reps to be based in Harare, Mutare, Gweru, Chivhu and Bulawayo",vacancymail.co.zw,vacancymail.co.zw,salesvacancies62022@gmail.com,salesvacancies62022@gmail.com
VM_001_003_20250807,Marketing Officer,Marketing Officer,The Customer Experience Association of Zimbabwe (CXAZ),The Customer Experience Association of Zimbabwe (CXAZ),Harare,Expires 15 Dec 2025,Expires 15 Dec 2025,WE ARE LOOKING FOR A MARKETING OFFICER TO JOIN OUR VIBRANT TEAM IN HARARE Description The incumbent will be reporting to the Sales and Marketing Manager.,WE ARE LOOKING FOR A MARKETING OFFICER TO JOIN OUR VIBRANT TEAM IN HARARE Description The incumbent will be reporting to the Sales and Marketing Manager.,vacancymail.co.zw,vacancymail.co.zw,aquiline@exaz.org,aquiline@exaz.org
VM_001_004_20250807,Socio-Economic Strengthening Officer,Socio-Economic Strengthening Officer,Family AIDS Caring Trust - FACT,Family AIDS Caring Trust - FACT,Makoni,Expires 15 Dec 2025,Expires 15 Dec 2025,"FACT Zimbabwe is a Christian based organisation that was instituted in 1987. Since establishment, FACT Zimbabwe has been a leading national HIV and development organisation implementing various projects directly and through partnerships. The organization have since grown to become a broad-based health and development organization whilst maintaining special focus on","FACT Zimbabwe is a Christian based organisation that was instituted in 1987. Since establishment, FACT Zimbabwe has been a leading national HIV and development organisation implementing various projects directly and through partnerships. The organization have since grown to become a broad-based health and development organization whilst maintaining special focus on",vacancymail.co.zw,vacancymail.co.zw,N/A,N/A
VM_001_005_20250807,Service Providers and Suppliers Registration,Service Providers and Suppliers Registration,Corporate 24 Hospital Group,Corporate 24 Hospital Group,Harare,Expires 13 Dec 2025,Expires 13 Dec 2025,"Applications are invited from interested, reputable and prospective suppliers of goods and services to register as approved suppliers and service providers for the year 2025 for Corporate 24 Hospital along J.Tongogara Street between 8th and 9th Avenue Bulawayo. Suppliers will be required for the following product and service categories:","Applications are invited from interested, reputable and prospective suppliers of goods and services to register as approved suppliers and service providers for the year 2025 for Corporate 24 Hospital along J.Tongogara Street between 8th and 9th Avenue Bulawayo. Suppliers will be required for the following product and service categories:",vacancymail.co.zw,vacancymail.co.zw,N/A,N/A
VM_001_006_20250807,INVITATION TO TENDER TENDER FOR CONSULTANCY FOR PRIVATE SECTOR & FINANCIAL INSTITUTION ENGAGEMENT AND BEST PROJECT SCALE PROPOSAL DEVELOPMENT,INVITATION TO TENDER TENDER FOR CONSULTANCY FOR PRIVATE SECTOR & FINANCIAL INSTITUTION ENGAGEMENT AND BEST PROJECT SCALE PROPOSAL DEVELOPMENT,World Vision,World Vision,Harare,Expires 13 Dec 2025,Expires 13 Dec 2025,World Vision Registration No. PVO 26 /79 INVITATION TO TENDER TENDER FOR CONSULTANCY FOR PRIVATE SECTOR & FINANCIAL INSTITUTION ENGAGEMENT AND BEST PROJECT SCALE PROPOSAL DEVELOPMENT World Vision Zimbabwe (WVZ) is inviting reputable individuals/organizations to submit bids for consultancy services to support the Resource Development and Donor Engagement (RDDE) in,World Vision Registration No. PVO 26 /79 INVITATION TO TENDER TENDER FOR CONSULTANCY FOR PRIVATE SECTOR & FINANCIAL INSTITUTION ENGAGEMENT AND BEST PROJECT SCALE PROPOSAL DEVELOPMENT World Vision Zimbabwe (WVZ) is inviting reputable individuals/organizations to submit bids for consultancy services to support the Resource Development and Donor Engagement (RDDE) in,vacancymail.co.zw,vacancymail.co.zw,wvzprocurement-harare@wvi.org,wvzprocurement-harare@wvi.org
VM_001_007_20250807,Expression of Interest :  Invitation for Partnership,Expression of Interest :  Invitation for Partnership,Trcaire,Trcaire,Harare,Expires 11 Dec 2025,Expires 11 Dec 2025,"Expression of Interest Invitation for Partnership Trcaire has been supporting projects in Zimbabwe since the 1970's. Informed by our global strategy, our current country programme works in 4 main areas: 1) Supporting Women and Girls' Protection, Voice, and Leadership, 2) Climate and Environmental Justice 3) Active Citizenship and Access to","Expression of Interest Invitation for Partnership Trcaire has been supporting projects in Zimbabwe since the 1970's. Informed by our global strategy, our current country programme works in 4 main areas: 1) Supporting Women and Girls' Protection, Voice, and Leadership, 2) Climate and Environmental Justice 3) Active Citizenship and Access to",vacancymail.co.zw,vacancymail.co.zw,infozimbabwe@trocaire.org,infozimbabwe@trocaire.org
VM_001_008_20250807,Nurse Counsellor - Cimas Ruwa Clinic,Nurse Counsellor - Cimas Ruwa Clinic,CIMAS,CIMAS,Harare,Expires 09 Dec 2025,Expires 09 Dec 2025,"Job Summary Cimas Health Group's purpose is to inspire healthier communities by providing global standard health and wellness solutions. In pursuant to this purpose, Cimas is searching for a Nurse Counsellor to join the organization and provide nursing services to patients in line with Cimas policies, procedures and professional standards.","Job Summary Cimas Health Group's purpose is to inspire healthier communities by providing global standard health and wellness solutions. In pursuant to this purpose, Cimas is searching for a Nurse Counsellor to join the organization and provide nursing services to patients in line with Cimas policies, procedures and professional standards.",vacancymail.co.zw,vacancymail.co.zw,cimasrecruitment@cimas.co.zw,cimasrecruitment@cimas.co.zw
VM_001_009_20250807,Marketing Interns,Marketing Interns,Munch Zimbabwe,Munch Zimbabwe,Harare,Expires 08 Dec 2025,Expires 08 Dec 2025,Munch Zimbabwe is looking for marketing interns,Munch Zimbabwe is looking for marketing interns,vacancymail.co.zw,vacancymail.co.zw,N/A,N/A
VM_001_010_20250807,Bikers,Bikers,Munch Zimbabwe,Munch Zimbabwe,Harare,Expires 07 Dec 2025,Expires 07 Dec 2025,Munch Zimbabwe for bikers with own bikes,Munch Zimbabwe for bikers with own bikes,vacancymail.co.zw,vacancymail.co.zw,N/A,N/A
