Job Title,Company,Location,Category,Expiry Date,Description,Source Site,Apply Email
INVITATION FOR EXPRESSION OF INTEREST FOR A CONSULTANT TO DEVELOP VIRAL HEPATITIS B AND C GUIDELINES,"Zimbabwe Technical Assistance, Training and Education Center for Health (Zim-TTECH)",Harare,Healthcare,Expires 20 Dec 2025,"Title: Consultant for Developing Viral Hepatitis B and C Guidelines Duration: Three months Deadline for Receipt of Expressions: 19 December 2024 Background The Ministry of Health and Child Care (MOHCC) in Zimbabwe is seeking a qualified consultant to develop comprehensive guidelines for the prevention, testing, treatment, and care of Viral",vacancymail.co.zw,hbvconsultant@zimttech.org
Instore Counter Sales Reps,N/A,Harare,Sales & Marketing,Expires 18 Dec 2025,"Description A fast growing company in the motor spares distribution and retail business is seeking the services of Instore Counter sales reps to be based in Harare, Mutare, Gweru, Chivhu and Bulawayo",vacancymail.co.zw,salesvacancies62022@gmail.com
Socio-Economic Strengthening Officer,Family AIDS Caring Trust - FACT,Makoni,Healthcare,Expires 15 Dec 2025,"FACT Zimbabwe is a Christian based organisation that was instituted in 1987. Since establishment, FACT Zimbabwe has been a leading national HIV and development organisation implementing various projects directly and through partnerships. The organization have since grown to become a broad-based health and development organization whilst maintaining special focus on",vacancymail.co.zw,N/A
Marketing Officer,The Customer Experience Association of Zimbabwe (CXAZ),Harare,Sales & Marketing,Expires 15 Dec 2025,WE ARE LOOKING FOR A MARKETING OFFICER TO JOIN OUR VIBRANT TEAM IN HARARE Description The incumbent will be reporting to the Sales and Marketing Manager.,vacancymail.co.zw,aquiline@exaz.org
Service Providers and Suppliers Registration,Corporate 24 Hospital Group,Harare,Healthcare,Expires 13 Dec 2025,"Applications are invited from interested, reputable and prospective suppliers of goods and services to register as approved suppliers and service providers for the year 2025 for Corporate 24 Hospital along J.Tongogara Street between 8th and 9th Avenue Bulawayo. Suppliers will be required for the following product and service categories:",vacancymail.co.zw,N/A
INVITATION TO TENDER TENDER FOR CONSULTANCY FOR PRIVATE SECTOR & FINANCIAL INSTITUTION ENGAGEMENT AND BEST PROJECT SCALE PROPOSAL DEVELOPMENT,World Vision,Harare,Finance & Banking,Expires 13 Dec 2025,World Vision Registration No. PVO 26 /79 INVITATION TO TENDER TENDER FOR CONSULTANCY FOR PRIVATE SECTOR & FINANCIAL INSTITUTION ENGAGEMENT AND BEST PROJECT SCALE PROPOSAL DEVELOPMENT World Vision Zimbabwe (WVZ) is inviting reputable individuals/organizations to submit bids for consultancy services to support the Resource Development and Donor Engagement (RDDE) in,vacancymail.co.zw,wvzprocurement-harare@wvi.org
Expression of Interest :  Invitation for Partnership,Trcaire,Harare,Administration,Expires 11 Dec 2025,"Expression of Interest Invitation for Partnership Trcaire has been supporting projects in Zimbabwe since the 1970's. Informed by our global strategy, our current country programme works in 4 main areas: 1) Supporting Women and Girls' Protection, Voice, and Leadership, 2) Climate and Environmental Justice 3) Active Citizenship and Access to",vacancymail.co.zw,infozimbabwe@trocaire.org
Nurse Counsellor - Cimas Ruwa Clinic,CIMAS,Harare,Healthcare,Expires 09 Dec 2025,"Job Summary Cimas Health Group's purpose is to inspire healthier communities by providing global standard health and wellness solutions. In pursuant to this purpose, Cimas is searching for a Nurse Counsellor to join the organization and provide nursing services to patients in line with Cimas policies, procedures and professional standards.",vacancymail.co.zw,cimasrecruitment@cimas.co.zw
Marketing Interns,Munch Zimbabwe,Harare,Sales & Marketing,Expires 08 Dec 2025,Munch Zimbabwe is looking for marketing interns,vacancymail.co.zw,N/A
Bikers,Munch Zimbabwe,Harare,Other,Expires 07 Dec 2025,Munch Zimbabwe for bikers with own bikes,vacancymail.co.zw,N/A
Injection Mold  Operator,N/A,Harare,Management,Expires 06 Dec 2025,"INJECTION MOLD OPERATOR REPORTS TO PRODUCTION SUPERVISOR JOB SUMMARY A manufacturing organization is looking to engage a qualified and experienced person. The position requires an individual with experience in the plastics manufacturing industry. As the organization has aggressive expansion plans, we require a high calibre, proven experience in running plastic",vacancymail.co.zw,denverrecruit1224@gmail.com
CALL FOR EXPRESSION OF INTEREST FOR CONSULTANCY SERVICES FOR THE DESIGN AND IMPLEMENTATION OF A CAPACITY DEVELOPMENT PROGRAM FOR SIMUKAI CHILD PROTECTION PROGRAMME,Simukai Child Protection Program,Harare,IT & Technology,Expires 05 Dec 2025,"Simukai Child Protection Programme (PVO27/12) (http://www.simukaicpp.org.zw)is a multi-service Organization that provides a range of child and youth-based programs for the community. It was established to serve children and youths in a holistic and inclusive manner based on the Eco-systemic child rights approach. The Organization also empowers children, young people and",vacancymail.co.zw,peterc@simukaicpp.org.zw
"DENTAL NURSE (Sponsored Trainee), AVENUES + BORROWDALE BASED",DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 02 Nov 2025,"1. Digital Proficiency: Strong command of internet essentials, proven secretarial skills, and demonstrated computer literacy are required. 2. Front Office and Public Relations: Responsible for reception duties and maintaining a professional public image for the organisation. 3. Stakeholder Communication: Handle communication with external partners, clients, and stakeholders in a courteous",vacancymail.co.zw,N/A
Receptionist,N/A,Harare,Sales & Marketing,Expires 08 Sep 2025,An excellent oppoturnity for a young and vibrant professional to work in an awesome and collaboratibve environement supporting the team with top of the class client services support!,vacancymail.co.zw,recruitments20245@gmail.com
HOUSE MAID,Hammer and Tongues Africa Holdings,Harare,NGO & Development,Expires 05 Sep 2025,"Cleaning, Washing and Preparing meals",vacancymail.co.zw,zimexecposts2030@gmail.com
Sales Representative,N/A,Harare,Sales & Marketing,Expires 04 Sep 2025,"On behalf of our client, we are recruiting for the position of Sales Representative. We are seeking a driven and results-oriented individual to join their team. The successful candidate will be responsible for identifying potential clients, making cold calls, following up on leads, conducting client meetings, preparing proposals, and delivering",vacancymail.co.zw,hr@mjconsultants.co.zw
Procurement and logistics officer,Plus Five Pharmaceuticals,Bulawayo,Administration,Expires 31 Aug 2025,"As a Procurement And Logistics Officer, you will be responsible for managing the procurement of raw materials, supplies, and equipment, as well as coordinating logistics and supply chain operations to ensure timely and efficient delivery of products. This is an urgent requirement, and the successful candidate will be expected to",vacancymail.co.zw,pplusfivehealthcare01@gmail.comCc
BURSAR,ZIMCARE TRUST,Harare,Finance & Banking,Expires 31 Aug 2025,"The Bursar is responsible for professional handling of all finances at the centre, submitting returns and preparing all books for both internal and external audit.",vacancymail.co.zw,zimcarerecruitment@gmail.com
SENIOR NURSE AIDE (PA/Secretary) to NURSING MATRON,DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 31 Aug 2025,1. Internet essentials 2. Reception duties 3. Communication with external stakeholders 4. Hospital secretarial duties 5. Minute taking 6. Assist the Midwife as a senior nurse aide 7. Assist the dentist during clinical work. 8. AODs as directed by Matron This is not a position for chancers. Only those who,vacancymail.co.zw,N/A
